6.326	100.024	1.571	0.025	-0.218	3.734	0.000	0.640
6.257	100.013	1.571	0.022	-0.218	3.775	0.000	0.566
6.197	100.013	1.571	0.019	-0.218	3.811	0.000	0.490
6.146	100.022	1.571	0.015	-0.218	3.843	0.000	0.412
6.104	100.034	1.571	0.012	-0.218	3.870	0.000	0.332
6.069	100.009	1.571	0.009	-0.218	3.891	0.000	0.250
6.046	100.020	1.571	0.006	-0.218	3.907	0.000	0.167
6.032	100.027	1.571	0.003	-0.218	3.916	0.000	0.084
6.027	100.030	1.571	-0.000	-0.218	3.919	0.000	-0.000
6.032	100.027	1.571	-0.003	-0.218	3.916	0.000	-0.084
6.046	100.020	1.571	-0.006	-0.218	3.907	0.000	-0.167
6.069	100.009	1.571	-0.009	-0.218	3.891	0.000	-0.250
6.104	100.034	1.571	-0.012	-0.218	3.870	0.000	-0.332
6.146	100.022	1.571	-0.015	-0.218	3.843	0.000	-0.412
6.197	100.013	1.571	-0.019	-0.218	3.811	0.000	-0.490
6.257	100.013	1.571	-0.022	-0.218	3.775	0.000	-0.566
6.326	100.024	1.571	-0.025	-0.218	3.734	0.000	-0.640
6.403	100.014	1.571	-0.028	-0.218	3.689	0.000	-0.711
6.489	100.024	1.571	-0.031	-0.218	3.640	0.000	-0.780
6.582	100.024	1.571	-0.034	-0.218	3.589	0.000	-0.846
6.681	100.018	1.571	-0.037	-0.218	3.535	0.000	-0.909
6.788	100.012	1.571	-0.040	-0.218	3.479	0.000	-0.969
6.902	100.010	1.571	-0.043	-0.218	3.422	0.000	-1.026
7.023	100.017	1.571	-0.046	-0.218	3.363	0.000	-1.080
7.148	100.005	1.571	-0.049	-0.218	3.304	0.000	-1.132
7.280	100.011	1.571	-0.053	-0.218	3.244	0.000	-1.181
7.417	100.007	1.571	-0.056	-0.218	3.184	0.000	-1.227
7.561	100.028	1.571	-0.059	-0.218	3.124	0.000	-1.271
7.707	100.017	1.571	-0.062	-0.218	3.065	0.000	-1.312
7.858	100.008	1.571	-0.065	-0.218	3.006	0.000	-1.351
8.013	100.004	1.571	-0.068	-0.218	2.947	0.000	-1.387
8.173	100.009	1.571	-0.071	-0.218	2.890	0.000	-1.422
8.338	100.024	1.571	-0.074	-0.218	2.833	0.000	-1.454
8.505	100.026	1.571	-0.077	-0.218	2.778	0.000	-1.485
8.674	100.015	1.571	-0.080	-0.218	2.723	0.000	-1.514
8.848	100.023	1.571	-0.083	-0.218	2.670	0.000	-1.541
9.025	100.025	1.571	-0.086	-0.218	2.618	0.000	-1.566
9.203	100.021	1.571	-0.089	-0.218	2.567	0.000	-1.591
9.384	100.016	1.571	-0.093	-0.218	2.517	0.000	-1.613
9.568	100.010	1.571	-0.096	-0.218	2.469	0.000	-1.635
